,parameter,value
0,os,windows
1,root_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy
2,database_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy\databases\pitzer.dat
3,database_selection,pitzer
4,quantity_of_modules,1
5,simulation_type,transport
6,simulation,scaling
7,domain,single
8,simulation_time,200
9,exchange_factor,100000.0
10,coarse_timestep,True
11,simulation_perspective,all_distance
12,repeated_membrane_winding_mm,2.0636
13,cells_per_module,12
14,active_m2_cell,3.0833333333333335
15,timestep,2.9911098509743295
16,permeate_moles_per_cell,6.387903666316266
17,simulated_cells,12
18,permeate_approach,linear_permeate
19,water_selection,red_sea
20,solution_elements,"['Mn', 'Fe', 'B', 'Cl', 'Na', 'S(6)', 'Ca', 'K', 'Mg', 'Sr', 'Ba', 'Li', 'Zn', 'Ni', 'Cu', 'Cd', 'Co', 'Pb']"
21,input_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\sensitivity_analyses\software\simulation_perspective\all_distance-2\input.pqi
22,output_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\sensitivity_analyses\software\simulation_perspective\all_distance-2\selected_output.csv
23,simulation_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\sensitivity_analyses\software\simulation_perspective\all_distance-2
24,selected_output_file_name,2022-11-27-red_sea-transport-pitzer-scaling-0.txt
