,parameter,value
0,os,windows
1,root_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy
2,database_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy\databases\pitzer.dat
3,database_selection,pitzer
4,quantity_of_modules,5
5,simulation_type,transport
6,simulation,brine
7,domain,single
8,simulation_time,75
9,exchange_factor,100000.0
10,coarse_timestep,True
11,simulation_perspective,all_time
12,repeated_membrane_winding_mm,2.0636
13,cells_per_module,12
14,active_m2_cell,3.0833333333333335
15,timestep,0.6176447614349589
16,permeate_moles_per_cell,1.3190606272003718
17,simulated_cells,60
18,permeate_approach,linear_cf
19,water_selection,Hajbi
20,solution_elements,"['Ca', 'Mg', 'Na', 'Sr', 'Cl', 'S(6)', 'Fe']"
21,input_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\brine\Hajbi_et_al\improved_single_module\input.pqi
22,output_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\brine\Hajbi_et_al\improved_single_module\selected_output.csv
23,simulation_path,C:\Users\Andrew Freiburger\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\brine\Hajbi_et_al\improved_single_module
24,selected_output_file_name,2022-11-24-Hajbi-transport-pitzer-brine-0.txt
