,parameter,value
0,os,windows
1,root_path,C:\Users\Andrew Freiburger\Documents\ROSSpy\rosspy
2,database_path,C:\Users\Andrew Freiburger\Documents\ROSSpy\rosspy\databases\pitzer.dat
3,database_selection,pitzer
4,quantity_of_modules,1
5,simulation_type,transport
6,simulation,scaling
7,domain,single
8,simulation_time,200
9,exchange_factor,100000.0
10,coarse_timestep,True
11,simulation_perspective,all_distance
12,repeated_membrane_winding_mm,2.0636
13,cells_per_module,50
14,active_m2_cell,0.74
15,timestep,2.9911098509743295
16,permeate_moles_per_cell,1.533096879915904
17,simulated_cells,50
18,permeate_approach,linear_permeate
19,water_selection,red_sea
20,solution_elements,"['Mn', 'Fe', 'B', 'Cl', 'Na', 'S(6)', 'Ca', 'K', 'Mg', 'Sr', 'Ba', 'Li', 'Zn', 'Ni', 'Cu', 'Cd', 'Co', 'Pb']"
21,input_path,C:\Users\Andrew Freiburger\Documents\ROSSpy\examples\sensitivity_analyses\transport\permeate_flux_approach\2023-01-07-ROSSpy-red_sea-transport-pitzer-scaling-all_distance-LinPerm\input.pqi
22,output_path,C:\Users\Andrew Freiburger\Documents\ROSSpy\examples\sensitivity_analyses\transport\permeate_flux_approach\2023-01-07-ROSSpy-red_sea-transport-pitzer-scaling-all_distance-LinPerm\selected_output.csv
23,simulation_path,C:\Users\Andrew Freiburger\Documents\ROSSpy\examples\sensitivity_analyses\transport\permeate_flux_approach\2023-01-07-ROSSpy-red_sea-transport-pitzer-scaling-all_distance-LinPerm
24,selected_output_file_name,2023-01-07-red_sea-transport-pitzer-scaling-0.txt
