,parameter,value
0,simulation,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\2021-10-14_ROSS__transport_pitzer_brine_all_time_LinPerm_3
1,water_mw,18.015
2,water_grams_per_liter,997.047021671824
3,os,windows
4,phreeqc_path,C:\Program Files\USGS\phreeqc-3.6.2-15100-x64
5,simulation_type,transport
6,simulation,brine
7,root_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy\..
8,database_selection,pitzer
9,simulation_time,75
10,module_diameter_mm,201
11,permeate_tube_diameter_mm,29
12,module_length_m,1.016
13,permeate_flow_m3_per_day,1200.0
14,max_feed_flow_m3_per_hour,77.0
15,membrane_thickness_mm,0.00025
16,feed_thickness_mm,0.8636
17,active_m2,37
18,permeate_thickness_mm,0.3
19,polysulfonic_layer_thickness_mm,0.05
20,support_layer_thickness_mm,0.15
21,repeated_membrane_winding_mm,1.5641
22,cells_per_module,12
23,active_m2_cell,3.0833333333333335
24,timestep,0.8148914581530474
25,permeate_moles_per_cell,52.199626683094955
26,simulation_perspective,all_time
27,permeate_approach,linear_permeate
28,quantity_of_modules,1
29,solution_elements,"['Ca', 'Mg', 'Na', 'Sr', 'Cl', 'S(6)', 'Fe']"
30,input_file_name,input.pqi
31,input_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\2021-10-14_ROSS__transport_pitzer_brine_all_time_LinPerm_3\input.pqi
32,output_file_name,selected_output.pqo
33,output_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\2021-10-14_ROSS__transport_pitzer_brine_all_time_LinPerm_3\selected_output.pqo
